TOPIC,SUB TOPIC,TRANSCRIPT,LINKS,RELEVANCE,TIMESTAMP
C and Cpp,First C Program,Comments are used to understand the flow of program. It is useful for documentation. It gives us information about the program. The double slash is called as single line comment,http://stackoverflow.com/questions/8284940/single-line-comments-in-ansi-c?s=1|2.3347,R,
,,Comments are used to understand the flow of program. It is useful for documentation. It gives us information about the program.,http://stackoverflow.com/questions/23314975/are-comments-in-c-removed-when-compiled,R,
,,"Type (hash) ""#include"" space opening bracket , closing bracket. It is always a good practice to complete the brackets first, and then start writing inside it. Now Inside the bracket, type""stdio"" ""(dot)."" ""h""
stdio.h is a header file.",http://stackoverflow.com/questions/24966585/c-header-file-format?s=37|2.2449,R,
,,A program must contain this header file when it uses standard input/output functions,http://stackoverflow.com/questions/7109964/creating-your-own-header-file-in-c?s=12|2.6606,R,
,,main is a special function. It denotes that the execution of the program begins from this line,http://stackoverflow.com/questions/18446686/main-function-in-c,R,
,,"type ""int"" space ""main"" opening bracket, closing bracket",http://stackoverflow.com/questions/2892787/why-would-you-precede-the-main-function-in-c-with-a-data-type?s=7|0.9595,R,
,,main is a special function. It denotes that the execution of the program begins from this line,http://stackoverflow.com/questions/9144927/who-calls-the-main-function-in-c,R,
,,Every program should have one main() function. There should NOT be more than one main function. Otherwise the compiler cannot locate the beginning of the program,http://stackoverflow.com/questions/1990932/two-main-functions-in-c-c,R,
,,"Backslash n ""\n"" signifies newline.
As a result, after execution of the printf function, the cursor moves to the new line",http://stackoverflow.com/questions/18379848/what-is-the-newline-character-in-the-c-language-r-or-n,R,
,,"And type ""return"" space ""0"" and a semicolon. This statement returns the integer zero. An integer has to be returned for this function because the function type is int. The return statement marks the end of executable statements","http://stackoverflow.com/questions/32972089/how-does-the-return-statement-work-in-c
http://stackoverflow.com/questions/204476/what-should-main-return-in-c-and-c
http://stackoverflow.com/questions/23774466/why-is-adding-a-return-statement-for-the-main-function-in-c-important",R,
,,"Let us now compile the program, come back to a terminal. Type ""gcc"" space ""talk.c"" space hyphen ""-o"" space ""myoutput"",
gcc is the compiler, talk.c is our filename. -o myoutput says that the executable should go to the file myoutput","http://stackoverflow.com/questions/571076/how-to-compile-a-c-program?s=16|2.0568

http://stackoverflow.com/questions/3661251/how-do-you-compile-a-c-program",R,
,First C++ Program,Let us start to write a program.,http://stackoverflow.com/questions/32315533/my-first-c-program,R,
,,Here iostream is a header file. This file includes the declaration of standard input output functions in C++. Now press Enter.,http://stackoverflow.com/questions/333889/why-have-header-files-and-cpp-files-in-c,R,
,,The using statement informs the compiler that you want to use the std namespace,http://stackoverflow.com/questions/2648112/include-and-using-namespace-in-c,R,
,,The purpose of namespace is to avoid name collisions. It is done by localizing the names of identifiers,http://stackoverflow.com/questions/1452721/why-is-using-namespace-std-considered-bad-practice?s=1|3.0173,R,
,,"The using statement informs the compiler that you want to use the std namespace.
The purpose of namespace is to avoid name collisions. Anything defined within a namespace is in the SCOPE of that namespace.
Here std is the namespace in which entire standard C++ library is declared",http://stackoverflow.com/questions/18914106/what-is-the-use-of-using-namespace-std,R,
,,Here cout is a standard C++ function to print the output on the terminal,http://stackoverflow.com/questions/34384380/what-exactly-are-cout-cin,R,
,,Here cout is a standard C++ function to print the output on the terminal,http://stackoverflow.com/questions/4901765/cout-what-it-stands-for,R,
,,"That ""expected identifier before 'semicolon' "" and "" 'cout' was not declared in this scope"". As cout is the standard C++ library function. and the entire C++ library function is defined under std namespace. Hence it is giving an error",http://stackoverflow.com/questions/15185801/cout-was-not-declared-in-this-scope,R,
,Tokens,"Token is a generic word for data types, variables, constants and identifiers",http://stackoverflow.com/questions/4448661/what-is-the-exact-definition-of-token,R,
,,"int is a keyword.
The compiler knows the meaning of keyword",http://stackoverflow.com/questions/2452365/why-does-a-programming-language-need-keywords,R,
,,This is called as initialization. If a value is not assigned to a variable then it is called as declaration of the variable.,http://stackoverflow.com/questions/23345554/the-differences-between-initialize-define-declare-a-variable,R,
,,Keywords have fixed meanings that cannot be changed. Keywords cannot be used as variable names,,,
,,Constants: constants are fixed values. They do not change during the execution of a program.,http://stackoverflow.com/questions/6087729/const-in-c-vs-const-in-c?s=2|3.4834,R,
,,Data type is a finite set of values along with a set of rules,,,
